Case_id,Ss,Head_Notes,Murder,Dacoity,Rape,Fraud,Robbery or Theft,Kidnapp
1397,497,"S. 497(2)---Penal Code (XLV of 1860), Ss. 324 & 34---Constitution of Pakistan, Art. 185(3)---murder ous assault with firearms---Bail, grant of---Further inquiry---Only a general role had been ascribed to the accused persons and no details had been given as to which of the accused fired at which part of the body of the complainant---Complainant received injuries on the non-vital parts of the body---Bare perusal of the medico legal report revealed that at the one hand the medical officer declared the injuries as ""simple"" and on the other hand he held the same to be ""grievous""---Law Officer admitted that none of the injuries exposed the bone---Complainant sustained injuries on non-vital parts of the body whereas more than 37 empties had been recovered from the place of occurrence, which prima facie showed that the accused had no intention to kill the complainant despite having ample opportunity to do so---In this view of the matter, the question whether section 324, P.P.C. would be applicable in the case or not would be determined by the Trial Court after recording of evidence---Case of the accused persons squarely fell within the ambit of section 497(2), Cr.P.C. entitling for further inquiry into their guilt---Petition for leave to appeal was converted into appeal and allowed, and accused persons were admitted to bail.",1,0,0,0,0,0
1398,497,"S. 497(2)---Penal Code (XLV of 1860), Ss. 324 & 34---Constitution of Pakistan, Art. 185(3)---murderous assault with a firearm---granting of bail---Further investigation---Only a general role had been assigned to the accused, and no information had been provided as to who of the accused fired at which portion of the complainant's body---The complainant suffered damage to non-vital portions of his body---A cursory examination of the medicolegal report revealed that the medical officer declared the injuries to be ""simple"" on the one hand and ""grievous"" on the other---Law Officer admitted that none of the injuries exposed the bone---The complainant suffered injuries to non-vital regions of his body, while more than 37 empties were found from the scene, indicating that the accused had no intention of killing the complainant despite having sufficient time to do so---In this view of the matter, the Trial Court would determine whether section 324, P.P.C. would be applicable in the case or not after recording evidence---The accused persons' case squarely fell within the ambit of section 497(2), Cr.P.C., entitling them to further inquiry into their guilt---Petition for leave to appeal was converted into appeal and allowed, and accused persons were admitted to bail.",1,0,0,0,0,0
1375,302,"S. 302(b)---Qatl-i-amd---Reappraisal of evidence---Incident took place at 02:30 p.m. whereas the matter was reported to the Police on the same day at 06:05 p.m.---Distance between the place of occurrence and the Police Station was 18 kilometers, thus, it could safely be said that FIR was lodged with promptitude---Complainant and another witness had heard the gunshot and witnessed the accused fleeing away from the place of occurrence after commission of offence with a pistol in his hands---Evidence of said witnesses was in the nature of wajtakar, the probative strength of which rested in the doctrine of res gestae in view of Article 19 of the Qanun-e-Shahadat Order, 1984---Said doctrine of res gestae was based upon the assumption that statements of witnesses that constituted part of the res gestae were attributed a certain degree of reliability because they were contemporaneous making them admissible by virtue of their nature and strength of their connection with a particular event and their ability to explain it comprehensively---Prosecution witnesses in question were residents of the same locality, therefore, their presence at the place of occurrence was natural---Said witnesses were subjected to lengthy cross-examination by the defence but nothing favourable to the accused or adverse to the prosecution could be brought on record---Said witnesses gave all necessary details of occurrence qua the date, time, place, name of accused, name of witnesses, manner of occurrence, kind of weapon used in the occurrence, the locale of injuries and the motive of occurrence---Accused could not point out any plausible reason as to why the complainant would falsely involve the accused in the present case and let off the real culprit, who had committed murder of his daughter---Substitution in such like cases was a rare phenomenon---Medical evidence available on the record further corroborated the prosecution case so far as the nature, time, locale and impact of the injuries on the person of the deceased was concerned---Accused remained absconder for a long period of more than five years, which was also a corroboratory piece of evidence against him---Petition for leave to appeal was dismissed, leave was refused and conviction and sentence awarded to accused was maintained.",1,0,0,0,0,0
1376,302,"S. 302(b)---Qatl-i-amd---Reappraisal of evidence---The incident occurred at 2:30 in the afternoon, however it was not until 6:05 that the case was reported to the police that same day.The complainant and another witness heard the gunshot and saw the accused fleeing from the scene of the crime with a pistol in his hand. Their evidence was in the form of wajtakar, which was supported by the doctrine of res gestae according to Article 19 of the Qanun-e-Shahadat Order, 1984. The distance between the scene of the crime and the police station was 18 kilometers, so it could be concluded that the FIR was lodged promptly.---Said doctrine of res gestae was based upon the assumption that statements of witnesses that constituted part of the res gestae were attributed a certain degree of reliability because they were contemporaneous making them admissible by virtue of their nature and strength of their connection with a particular event and their ability to explain it comprehensively---Prosecution witnesses in question were residents of the same locality, therefore, their presence at the place of occurrence was natural---Said witnesses were subjected to lengthy cross-examination by the defence but nothing favourable to the accused or adverse to the prosecution could be brought on record---Said witnesses gave all necessary details of occurrence qua the date, time, place, name of accused, name of witnesses, manner of occurrence, kind of weapon used in the occurrence, the locale of injuries and the motive of occurrence---Accused could not point out any plausible reason as to why the complainant would falsely involve the accused in the present case and let off the real culprit, who had committed murder of his daughter---Such instances of substitution were quite unusual —Regarding the kind, timing, location, and effect of the injuries on the body of the dead, the medical evidence that was already on file provided more support for the prosecution's case—The evidence against the accused was strengthened by the fact that he continued absconding for over five years. The petition for leave to appeal was denied, and the conviction and sentence handed down to the accused were upheld.",1,0,0,0,0,0
1243,497,"Ss. 497(2) & 498---Penal Code (XLV of 1860), Ss. 324, 148 & 149---Constitution of Pakistan, Art. 185(3)---murderous assault with firearms--- Ad-interim pre-arrest bail, confirmation of---Bail, grant of---Further inquiry---First Information Report was lodged after an inordinate delay of about three days---Only explanation put forth by the complainant was that firstly they got the Police letter for treatment from Civil Hospital and after the treatment they lodged the FIR---However, this explanation did not seem to be impressive, especially when the Police was allegedly approached by the complainant on the very first day---Complainant and the injured prosecution witness received injuries on the non-vital parts of the body and the accused and co-accused did not repeat the fire despite having ample opportunity to do so---In this view of the matter, the question whether section 324, P.P.C. would be applicable in the case or not would be determined by the Trial Court after recording of evidence---Case of the accused and co-accused squarely fell within the ambit of section 497(2), Cr.P.C. entitling for further inquiry into their guilt---Petitions for leave to appeal were converted into appeals, and allowed, ad interim pre-arrest bail granted to the accused was confirmed, whereas the co-accused was admitted to post-arrest bail.",1,0,0,0,0,0
1244,497,"Ss. 497(2) & 498---Penal Code (XLV of 1860), Ss. 324, 148 & 149---Constitution of Pakistan, Art. 185(3)---murderous assault with a firearm--- Pre-arrest bail, confirmation of---Bail, grant of---Further investigation---After a three-day delay, the First Information Report was submitted---The complainant's only explanation was that they received the Police letter for treatment from Civil Hospital and then lodged the FIR---However, this explanation did not appear to be impressive, especially when the Police was allegedly approached by the complainant on the very first day---Complainant and the injured prosecution witness received injuries on non-vital parts of the body and the accused and co-accused did not repeat the fiIn this view of the matter, the Trial Court would determine whether section 324, P.P.C. would be applicable in the case or not after recording evidence---Case of the accused and co-accused squarely fell within the ambit of section 497(2), Cr.P.C. entitling for further inquiry into their guilt---Petitions for leave to appeal were converted into appeals, and allowed, ad interim pre-arrest bail granted to the accused was confirmed, whereas.",1,0,0,0,0,0
999,497,"Ss. 497(1), third proviso & 497(2)---Penal Code (XLV of 1860), Ss. 324 & 34---Constitution of Pakistan, Art. 185(3)---Attempt to commit qatl-i-amd, common intention---Bail, grant of---Delay in conclusion of trial---Further inquiry---Cross-version FIRs---As per the contents of the crime report, the allegation against the accused persons was that they while armed with firearms launched a murder ous assault on the complainant party and made fire shots, which hit the complainant and the witness Mashal Khan on left rib and left knee respectively---However, it was stance of the accused persons that in-fact the complainant party was aggressor and committed murder of two persons from accused's side---One of the accused had also got registered an FIR under sections 302, 324 & 34, P.P.C. against the complainant party---In the present case only a general role had been ascribed to the accused persons and no details had been given as to which accused fired at which injured---Admittedly, the accused persons did not repeat the fire, which prima facie showed that they had no intention to kill the victims---Accused persons were behind the bars and despite lapse of more than 22 months, the conclusion of trial was not insight in near future---Such delay was not attributable to the accused persons, as admitted by the prosecution---Co-accused, who was ascribed a role similar to that of accused persons, had been granted post-arrest bail by the Supreme Court, therefore, the accused persons were entitled for the concession of post-arrest bail on such score alone---Case of the accused persons squarely fell within the ambit of section 497(2), Cr.P.C. entitling for further inquiry into their guilt---Petition for leave to appeal was converted into appeal and allowed, and accused persons were admitted to bail.",1,0,0,0,0,0
1000,497,"Ss. 497(1), third proviso & 497(2)---Penal Code (XLV of 1860), Ss. 324 & 34---Constitution of Pakistan, Art. 185(3)---Attempt to commit qatl-i-amd, common intention---Bail, granted---Trial delay---Further investigation---Cross-version FIRs---According to the contents of the crime report, the accused persons were accused of launching a murderous assault on the complainant party while armed with firearms and firing shots that hit the complainant and the witness Mashal Khan on the left rib and left knee, respectively---However, the accused persons maintained that the complainant party was the aggressor and committed murder of two persons from the accused's side---One of the accused had also registered a FIR against the complainant party under sections 302, 324, and 34 of the P.P.C.---In the present case, only a general role had been ascribed to the accused persons and no details had been given as to which accused fired at which injured---Admittedly, the accused persons did not repeat the fire, which prima facie showed that they had no intention to kill the victims---Accused persons were behind bars and despite a lapse of more than 2The accused persons' case fell firmly within the ambit of section 497(2) of the Cr.P.C., entitling them to a further investigation into their guilt---The petition for leave to appeal was transformed into an appeal and approved, and the accused persons were admitted to bail.",1,0,0,0,0,0
831,302,"S. 302(b)--- Qatl-i-amd--- Reappraisal of evidence---Sentence, reduction in---Recovery of weapon of offence was inconsequential as admittedly no crime empty was recovered from the place of occurrence---High Court had rightly disbelieved the motive by holding that a divorce, which was the alleged motive for the occurrence, took place two years prior to the occurrence, therefore, what happened immediately before the occurrence, which provoked the accused to take lives of two innocent persons, remained shrouded in mystery---Hence, the motive part of the prosecution case did not inspire confidence so as to term it is as a cause of the murder ---Keeping in view the fact that motive had been disbelieved and the recovery was inconsequential, the High Court has rightly taken a lenient view and converted the sentence of death into imprisonment for life---Petition for leave to appeal was dismissed, and leave was refused.",1,0,0,0,0,0
832,302,"S. 302(b)--- Qatl-i-amd--- Reappraisal of evidence---Sentence, reduction in---The recovery of the weapon of offence was insignificant because no crime empty was recovered from the scene of the occurrence---The High Court rightly disbelieved the motive by holding that a divorce, which was the alleged motive for the occurrence, took place two years prior to the occurrence, leaving what happened immediately before the occurrence, which provoked the accused to take the lives of two innocent people, shrouded in mystery---Given that the purpose had been disbelieved and the recovery was insignificant, the High Court correctly took a lenient stance and commuted the death sentence to life imprisonment---Petition for leave to appeal was denied.",1,0,0,0,0,0
